Day,Title,How to apply (optional),URL of where to,Full JD (verbatim),Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-21,Principal Product Manager-B2B2C,,jobs.ashbyhq.com/phil/dcff543a-01a1-47f0-b0d1-f4b7af783453,"Principal Product Manager-B2B2C @ PHIL

 

You need to enable JavaScript to run this app.",PHIL,Principal Product Manager-B2B2C,Remote,United States,,,yes
2025-09-21,Product Manager,,capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager,"Product Manager - Capio Group - Career Page

 

[Skip To Job Description](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager#job-description)

[View All Jobs](http://capiogroup.applytojob.com/apply/)

[![brand logo](https://s3.amazonaws.com/resumator/customer_20211115191810_UPUUCTVQUI9AGCUZ/logos/20220120185932_20211117180623_CAPIO_GROUP_LOGO_blue.png)](http://capiogroup.applytojob.com/apply)

[View Our Website](https://capiogroup.com/)

[![brand logo](https://s3.amazonaws.com/resumator/customer_20211115191810_UPUUCTVQUI9AGCUZ/logos/20220120185932_20211117180623_CAPIO_GROUP_LOGO_blue.png)](http://capiogroup.applytojob.com/apply)

Thanks for visiting our Career Page. Please review our open positions and apply to the positions that match your qualifications.
--------------------------------------------------------------------------------------------------------------------------------

Product Manager
===============

Remote

Full Time

Experienced

[Share](https://capiogroup.applytojob.com/app/share/lkR1YrjlRu)

Capio Group is looking for an experienced Product Manager!  
  
Full-time employee - Remote  
Salary: $120,000 - $130,000

**About Us:**

Capio Group is a California-based Information Technology Consulting firm serving the public sector since 2010. We assist the Government in delivering large, complex systems and solutions. Capio Group is a small, but quickly growing firm that mixes good ideas, with great people, to achieve extraordinary results for our clients. We offer the salary and benefits of the bigger companies, with the added bonus of a flexible workplace and a great work-life balance.  
  
**Scope of Work:**  
  
Capio Group is looking for an experienced Product Manager to work as part of a team to provide product management support services. This role involves assisting with product strategy, development, and the achievement of strategic goals for enhancements and improvements to client programs while ensuring compliance with regulations and framework requirements. The Product Manager will oversee the development and lifecycle of a product from conceptualization through iterative development and launch, ensuring alignment with business goals and customer needs. This will be accomplished through strategic and market analysis, as well as cross-functional collaboration. The Product Manager will act as a bridge between various teams, translating customer feedback and market insights into actionable plans to drive product success.  
  
The Product Manager will be responsible for tasks including but not limited to:

* Oversee and advise the development of a product or products within the client product portfolio.
* Lead, assist and/or guide the identification and articulation of client business program objectives and key results (OKRs) for product development or delivery.
* Lead, assist and/or guide the identification of relevant performance outcome measures.
* Lead, assist, and/or guide the development and management of product vision, product Roadmap, and serve as the content authority for the acceptance criteria for product features.
* Lead, assist, guide, and monitor efforts to establish quantifiable and qualitatively measurable product performance measures.
* Contribute to internal and external stakeholder understanding of and support for product management processes, artifacts, and results with project staff, project sponsor, Subject Matter Experts (SMEs), and other internal and external stakeholders.
* Represent and align with the client Product Management organization in all internal and external stakeholder interactions.
* Work collaboratively with other vendors and state staff on team assignments.
* Participate in the client Product Manager Community of Practice, contributing constructively to the development of the Product Management competency of the entire organization.
* Resolve, or appropriately escalate, when necessary, obstacles for product delivery teams related to product needs, questions or conflicts.
* Assist and support Product Owners to understand Stakeholder and User pain points, needs, opportunities, and priorities such that they can serve as the voice of the customer/user to product development teams and set delivery team backlog priorities appropriately.
* Consult with client Product Management leadership to guide and align individual products with the client Product Portfolio Vision, Goals and Roadmap.
* Assist and support client Product Managers and Product Owners to ensure product user acceptance and use, including through development of implementation plans, acceptance metrics, and performing activities related to execution.
* Assist and support client Product Manager and Product Owners to identify and articulate acceptance criteria for user stories.
* Assist with and support stakeholder management/user relations during product planning, discovery, and development.
* Conduct business solution research, assisting with the identification of business process re- engineering to maximize the value of new products and/or support product adoption.
* Prepare or assist with development of workflow and business architecture diagrams as necessary to establish a thorough understanding of as-is and to-be business processes.
* Assist with driving product launches and collaborating with business teams to facilitate awareness and adoption of new features and capturing customer feedback.
* Use data to assess product use outcomes and refine and/or iterate upon product priorities to achieve product strategy.
* Participate in scrum ceremonies, including sprint planning, backlog refinement, sprint review, and retrospectives.
* Assist with writing and refining user stories to support Product Owners to maintain a ready-to- work backlog aligned to the Product Roadmap.
* Assist with writing and editing release notes, training materials, or other communications to the product stakeholders and users.
* Establish and maintain a client program-focused product management process that supports the modernization of mission-critical applications/products.
* Prepare and present product strategy, Roadmap, and priorities to internal and external stakeholders with exceptional communication materials and skill.

Mandatory Experience:

1. Within the last ten (10) years, must have a minimum of three (3) years of full time equivalent (FTE) experience in understanding end-to-end product development cycles developing products; UX conducting market research; generating product requirements; determining product road maps and specifications, production timetables, and time- integrated plans for product introduction; developing service to market strategies; and managing client service relations.
2. Must possess a bachelor’s degree. Successful completion of a bootcamp in a related field plus an additional year of experience may be substituted for the degree requirement. A copy of the degree must be provided upon request.
3. Within the last ten (10) years, must have a minimum of nine (9) years of FTE experience in developing products; conducting market research; pricing and developing marketing strategies. At least three (3) years of that experience must have been in a lead capacity.
4. Within the last five (5) years, must have a minimum of three (3) years of FTE experience in the developing use cases, scenarios, and workflow analyses to help create and validate business requirements.
5. Within the last ten (10) years, must provide at least two (2) references from previous engagements of similar size, scope, and type of service.

Desirable Experience:

1. Hold an active and valid Scrum Product Owner Certification. A copy of the certificate  must be provided upon request.
2. Hold an active and valid SAFe® Product Manager/Product Owner or Agilist Certification. A copy of the certificate  must be provided upon request.
3. Within the last five (5) years, experience in developing product objectives and key results with internal and external governmental stakeholders.
4. Within the last five (5) years, experience working with Medicare/Medicaid/Medi-Cal programs or services.

Equal Opportunity Employer:  

At Capio Group, our employees are our greatest asset and diversity, equity, and inclusion are at the core of who we are. Our commitment to these values is unyielding and is central to our mission and to our impact. We know that having diverse perspectives helps to generate better ideas to solve the complex problems of our diverse clients and the communities they serve.

[Share](https://capiogroup.applytojob.com/app/share/lkR1YrjlRu)

Apply

### Apply for this position

Required*\**

Apply with Indeed

First Name*\**

Last Name*\**

Email Address*\**

Phone*\**

Address

Resume*\**

*We've received your resume. Click [here](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager) to update it.*

[Attach resume](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager)
or
[Paste resume](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager)

Attach resume as .pdf, .doc, .docx, .odt, .txt, or .rtf (limit 5MB) or
[Paste resume](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager)

Paste your resume here or
[Attach resume file](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager)

LinkedIn Profile URL:

Desired salary*\**

Earliest start date?*\**

Are you a legal resident of United States? This is a mandatory requirement for this job?*\**
-- No answer --YesNo

Within the last ten (10) years, how many years of full time equivalent (FTE) experience do you have in understanding end-to-end product development cycles developing products; UX conducting market research; generating product requirements; determining product road maps and specifications, production timetables, and time- integrated plans for product introduction; developing service to market strategies; and managing client service relations?*\**

Do you possess a bachelor’s degree? Successful completion of a bootcamp in a related field plus an additional year of experience may be substituted for the degree requirement. A copy of the degree must be provided upon request.*\**
-- No answer --YesNo

Within the last ten (10) years, how many years of FTE experience do you have in developing products; conducting market research; pricing and developing marketing strategies? At least three (3) years of that experience must have been in a lead capacity.*\**

Within the last five (5) years, how many years of FTE experience do you have in the developing use cases, scenarios, and workflow analyses to help create and validate business requirements?*\**

Within the last ten (10) years, can you provide at least two (2) references from previous engagements of similar size, scope, and type of service?*\**
-- No answer --YesNo

Do you hold an active and valid Scrum Product Owner Certification? A copy of the certificate must be provided upon request.*\**

Do you hold an active and valid SAFe® Product Manager/Product Owner or Agilist Certification? A copy of the certificate must be provided upon request.*\**

Within the last five (5) years, how many years of experience do you have in developing product objectives and key results with internal and external governmental stakeholders?*\**

Within the last five (5) years, how many years of experience do you have working with Medicare/Medicaid/Medi-Cal programs or services?*\**

Human Check*\**

[Submit Application](https://capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager)

### This website uses cookies and other analytics technologies.

By selecting ""Allow"", you consent to the recording, use and sharing of your website activity by this website and its service providers.

Allow
Reject All

[Powered by
![JazzHr](https://capiogroup.applytojob.com/img/v1.1/logos/jazzhr-logo.png)](https://info.jazzhr.com/job-seekers.html)",Capio Group,Product Manager,Remote,United States,,,yes
2025-09-21,Senior Product Manager (Payment Gateway),,fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway,"Senior Product Manager (Payment Gateway) - FYST - Career Page

 

[Skip To Job Description](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway#job-description)

[View All Jobs](http://fyst.applytojob.com/apply/)

[![brand logo](https://s3.amazonaws.com/resumator/customer_20221213111933_7YYTSXGNBHL8BB43/logos/20230315112154_FYST_on_blue.png)](http://fyst.applytojob.com/apply)

[View Our Website](https://fyst.com/)

[![brand logo](https://s3.amazonaws.com/resumator/customer_20221213111933_7YYTSXGNBHL8BB43/logos/20230315112154_FYST_on_blue.png)](http://fyst.applytojob.com/apply)

Thanks for visiting our Career Page. Please review our open positions and apply to the positions that match your qualifications.
--------------------------------------------------------------------------------------------------------------------------------

Senior Product Manager (Payment Gateway)
========================================

Remote

Full Time

Experienced

[Share](https://fyst.applytojob.com/app/share/p56WbbcSnU)

**WHAT YOU'LL BE WORKING ON**

* Develop and articulate a clear product strategy aligned with the company's overall goals, focusing on the Payment Gateway product suite
* Lead the end-to-end product lifecycle: discovery, ideation, prioritization, delivery, and go-to-market.
* Work closely with engineering to define the architecture of a modular, scalable, multi-tenant gateway.
* Drive feature development: payment routing, cascading, MID management, risk logic, PSP integrations, merchant management portals.
* Collaborate with Sales, Ops, Risk/Compliance to ensure the product meets market and client-specific needs.
* Coordinate integrations with external PSPs, acquirers, fraud tools, CRMs, KYC/AML providers.
* Manage backlog, documentation, OKRs, and align with C-level stakeholders on delivery expectations.
* Ensure the product complies with PCI DSS, 3DS, GDPR, and other regulatory requirements.
* Serve as product evangelist: explain and defend product decisions, manage pre-sales demos, support onboarding of first clients.

**WHAT YOU NEED TO SUCCEED IN THIS ROLE**

* 5+ years in product management, with at least 3 years dedicated to payment gateway or white-label PSP products.
* Proven experience building or significantly scaling gateway platforms, not just integrating third-party ones.
* Strong technical understanding of payment flow orchestration, transaction lifecycles, and PSP API structures.
* Experience designing or working with features like routing logic, failover, transaction scoring, retry logic, multi-MID switching, PSP onboarding, merchant dashboards.
* Strong cross-functional leadership: you’ve driven product work across Engineering, Compliance, Finance, Ops.
* Clear experience taking a product from 0 → 1, ideally in SaaS or platform products.
* Excellent stakeholder management and communication skills - you translate complexity into clarity.
* English: B2 and above, Russian: fluent.

**WHAT WE OFFER**

* An opportunity to make something great even greater, you can be the reason why we grow, develop, and become **the best fintech company on the market!**
* Career prospects - we are young, we have huge ambitions, and it is important that our employees grow with us
* Work with coworkers who are passionate about their business
* Compensation that will fully correspond to the competence and knowledge, with yearly performance reviews
* 20 days of vacation time; bank holidays; sick leaves; additional birthday day off and animal adoption days off

You can find out more about our team, our values, and the unique ways we celebrate our successes here: <https://fyst.com/culture>

[Share](https://fyst.applytojob.com/app/share/p56WbbcSnU)

Apply

### Apply for this position

Required*\**

Apply with Indeed

First Name*\**

Last Name*\**

Email Address*\**

Phone*\**

Address

Resume*\**

*We've received your resume. Click [here](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway) to update it.*

[Attach resume](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway)
or
[Paste resume](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway)

Attach resume as .pdf, .doc, .docx, .odt, .txt, or .rtf (limit 5MB) or
[Paste resume](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway)

Paste your resume here or
[Attach resume file](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway)

LinkedIn Profile URL:*\**

What languages do you speak fluently?*\**

Desired salary*\**

What is your experience with payment gateways? Please briefly describe what parts you worked on (core engine, routing, PSP integrations, etc).*\**

Have you worked on a white-label or multi-tenant payment platform? If yes, what part of the product were you responsible for?*\**

Could you describe your experience leading integrations, particularly in a SaaS environment, including client, partner, and 3d provider integrations (especially payment providers or PSPs)?*\**

Do you have experience working with UX/UI when managing product integrations?*\**
-- No answer --YesNo

From which country are you planing to work remotely?*\**

Human Check*\**

[Submit Application](https://fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway)

### This website uses cookies and other analytics technologies.

By selecting ""Allow"", you consent to the recording, use and sharing of your website activity by this website and its service providers.

Allow
Reject All

[Powered by
![JazzHr](https://fyst.applytojob.com/img/v1.1/logos/jazzhr-logo.png)](https://info.jazzhr.com/job-seekers.html)",FYST,Senior Product Manager (Payment Gateway),Remote,,GDPR; Compliance,,yes
2025-09-21,Sr. Product Manager II (6043),,boards.greenhouse.io/metrostarsystems/jobs/7450356003,,MetroStar,Sr. Product Manager II (6043),Remote,United States,ServiceNow,,yes
2025-09-20,Project Manager / Product manager,,boards.greenhouse.io/whitetech/jobs/4678165101,,WhiteTech,Project Manager / Product manager,Remote,,Confluence,,yes
2025-09-20,Founding Product Manager,,jobs.ashbyhq.com/outset/87a8e735-eca3-493f-befd-2fb6dc709111,,Outset,Founding Product Manager,San Francisco,United States,Uber; Microsoft,,yes
2025-09-19,Azure DevOps Program/Product Manager,,imaginexdigital.applytojob.com/apply/FUP73rDuWQ/Azure-DevOps-ProgramProduct-Manager,,ImagineX Consulting,Azure DevOps Program/Product Manager,Remote,United States,Azure,,no
2025-09-19,Sr. Product Manager,,foundationai.applytojob.com/apply/rH7LGLu6wj/Sr-Product-Manager,,Foundation AI,Sr. Product Manager,Remote,United States,Confluence; Jira,,no
2025-09-21,Director of Product Design - C2C,,ebay.wd5.myworkdayjobs.com/apply/job/san-jose/director-of-product-design---c2c_r0069277-1,,eBay,Director of Product Design - C2C,San Francisco,United States,eBay,,,yes
2025-09-19,Head of Product Marketing,,jobs.ashbyhq.com/patch.io/342c47e9-10c5-4b7c-ada7-09bef26e3e13,,Patch,Head of Product Marketing,San Francisco,United States,Go,,,no
2025-09-21,Director of Product,,jobs.lever.co/alltrails/12340b23-68b0-41e2-accd-335efaa392ba,,AllTrails,Director of Product,San Francisco,United States,,,yes
2025-09-21,Customer Success Manager - High Touch (East Coast),,jobs.ashbyhq.com/n8n/2b87bd9d-5354-40e2-9615-b72aa1b99dfa,,n8n,Customer Success Manager - High Touch (East Coast),New York,United States,GitHub; n8n,,,yes
2025-09-21,Client Success Manager,,aokallc.applytojob.com/apply/aZ7XDkaRRL/Client-Success-Manager,,Aoka,Client Success Manager,Remote,United States,,,yes
2025-09-21,Customer Success Manager - Low Touch  (East Coast),,jobs.ashbyhq.com/n8n/7caec1b3-91c4-4e96-b70d-def9733542e7,,n8n,Customer Success Manager - Low Touch  (East Coast),New York,United States,n8n; GitHub,,,yes
2025-09-20,Senior National Customer Success Manager,,snapptinc.applytojob.com/apply/NgJMbZwXOW/Senior-National-Customer-Success-Manager,,Snappt,Senior National Customer Success Manager,Remote,,,,yes
2025-09-21,Global Site Operations Program Manager,,adobe.wd5.myworkdayjobs.com/external_experienced/job/san-jose/global-site-operations-program-manager_r158755,,Adobe,Global Site Operations Program Manager,San Francisco,United States,Adobe,,yes
2025-09-20,Technical Program Manager,,jobs.ashbyhq.com/anyscale/0c2602bc-3fb7-41a0-9837-afb03f7c9503,,Anyscale,Technical Program Manager,San Francisco,United States,Anyscale,,yes
2025-09-19,Program Manager,,careworkforcesolutions.applytojob.com/apply/YnTs8hlgAV/Program-Manager,,Care Workforce Solutions,Program Manager,Remote,United States,Google,,yes
2025-09-19,Program Manager,,nuvitek.pinpointhq.com/postings/7e08e24b-d7a5-4f3d-9b02-e6085fa47a6c,,Nüvitek,Program Manager,Remote,United States,,,yes
2025-09-19,Program Manager,,innovapptive.applytojob.com/apply/RLn9WijZW9/Program-Manager,,Innovapptive,Program Manager,Remote,United States,Freshworks; Facebook; Jira; IBM; Spotify; Flipkart; LinkedIn; SAP; Basecamp,,yes
